Product,PAST YEAR SALES,PREVIOUS YEAR SALES,Volumes ,COMPETETOR SALES,COMPETETOR SALES,COMPETETOR SALES,COMPETETOR SALES,market_share,growth_rate,radius
Product A,2000000,6478252,411092,7043643,4635633,5345454,5495343,0.283943976,0.691274745,0.411092
Product B,2378904,4396857,786322,4382594,9526466,952646,9526466,0.249715267,0.458953521,0.786322
Product C,678584,4398223,849022,5784934,5489538,2434564,4327849,0.117301943,0.845714053,0.849022
Product D,43907545,22243434,675383,43763925,57349567,57349567,57349567,0.765612494,0.973955325,0.675383
Product E,7857350,25665756,893456,5836596,457859935,457859935,457859935,0.017161034,0.693858618,0.893456
Product F,7893944,4245674,473565,9987352,6785432,9526434,222133,0.79039409,0.859291128,0.473565
Product G,7234567,5364523,435578,9876543,6273713,3787499,112223,0.732499924,0.348594647,0.435578
Product H,3456722,7824684,343424,9377463,24324545,3432423,34343454,0.100651554,0.55822855,0.343424
Product I,9874533,33454555,566798,4543563,45458756,34343432,6765489,0.217219605,0.704837413,0.566798
Product J,2536478,97857474,987423,45456445,45345345,43345,45435,0.055800184,0.974079875,0.987423
Product K,5783746,9897598,542452,5845994,4545243,553,768675,0.989352025,0.415641452,0.542452
Product L,6243512,4545366,231245,45435345,435454,4353455,45343455,0.13741531,0.373599398,0.231245
Product M,6752341,4454255,452435,8976786,777985,9999999,9256372,0.675234168,0.515930498,0.452435
